file,field,storage_type,shape_or_values,description
gene_star_candidates.csv,candidate_index,integer,one value per row,"Zero-based row index in the fixed 46,704-candidate gene-star pool and in every score array."
gene_star_candidates.csv,disease_local_id,integer,one value per row,Zero-based disease-node index within the MS disease block.
gene_star_candidates.csv,disease_global_id,integer,one value per row,Global graph node index for the disease.
gene_star_candidates.csv,disease_mesh_id,string,one value per row,MeSH identifier of the disease node.
gene_star_candidates.csv,disease_name,string,one value per row,MeSH display name for the disease node.
gene_star_candidates.csv,drug_local_id,integer,one value per row,Zero-based drug-node index within the MS drug block.
gene_star_candidates.csv,drug_global_id,integer,one value per row,Global graph node index for the drug.
gene_star_candidates.csv,drugbank_id,string,one value per row,DrugBank identifier for the drug node.
gene_star_candidates.csv,drug_name,string,one value per row,Canonical drug display name.
gene_star_candidates.csv,gene_local_id,integer,one value per row,Zero-based gene-node index within the MS gene block.
gene_star_candidates.csv,gene_global_id,integer,one value per row,Global graph node index for the gene.
gene_star_candidates.csv,gene_entrez_id,integer,one value per row,NCBI Entrez Gene identifier.
gene_star_candidates.csv,gene_symbol,string,one value per row,Gene symbol used for display.
gene_star_candidates.csv,drug_gene_edge_in_ms,boolean,one value per row,Whether the drug-gene edge is present in the MS graph.
gene_star_candidates.csv,gene_disease_edge_in_ms,boolean,one value per row,Whether the gene-disease edge is present in the MS graph.
gene_star_candidates.csv,drug_disease_edge_in_ms,boolean,one value per row,Whether the direct drug-disease edge is present in the MS graph.
gene_star_candidates.csv,ms_motif,string,one value per row,Observed MS topology before clique completion; gene_star in this package.
hanami_consensus_gene_stars.csv,candidate_index,integer,one value per row,"Zero-based row index in the fixed 46,704-candidate gene-star pool and in every score array."
hanami_consensus_gene_stars.csv,condition_group,string,one value per row,One of the six prespecified disease-area groups used in the clinical screen.
hanami_consensus_gene_stars.csv,pool_index_zero_based,integer,one value per row,Original zero-based candidate-pool row index from the frozen screen output.
hanami_consensus_gene_stars.csv,global_triplet_disease_drug_gene,string,one value per row,"Tuple of global graph indices ordered as disease, drug, gene."
hanami_consensus_gene_stars.csv,disease_label,string,one value per row,Canonical display label for the MS disease node.
hanami_consensus_gene_stars.csv,disease_cui,string,one value per row,UMLS CUI mapped to the MS disease node when resolved.
hanami_consensus_gene_stars.csv,disease_mesh,string,one value per row,MeSH identifier of the disease node.
hanami_consensus_gene_stars.csv,disease_local_global_id,integer,one value per row,Disease node index; diseases occupy the first MS node block so local and global IDs coincide.
hanami_consensus_gene_stars.csv,drug_name,string,one value per row,Canonical drug display name.
hanami_consensus_gene_stars.csv,drugbank_id,string,one value per row,DrugBank identifier for the drug node.
hanami_consensus_gene_stars.csv,drug_local_id,integer,one value per row,Zero-based drug-node index within the MS drug block.
hanami_consensus_gene_stars.csv,drug_global_id,integer,one value per row,Global graph node index for the drug.
hanami_consensus_gene_stars.csv,gene_symbol,string,one value per row,Gene symbol used for display.
hanami_consensus_gene_stars.csv,gene_entrez_id,integer,one value per row,NCBI Entrez Gene identifier.
hanami_consensus_gene_stars.csv,gene_local_id,integer,one value per row,Zero-based gene-node index within the MS gene block.
hanami_consensus_gene_stars.csv,gene_global_id,integer,one value per row,Global graph node index for the gene.
hanami_consensus_gene_stars.csv,median_top_percent,number,one value per row,Median rank percentile over the ten HANAMI seeds; lower is better.
hanami_consensus_gene_stars.csv,q1_top_percent,number,one value per row,First quartile of HANAMI rank percentiles over ten seeds.
hanami_consensus_gene_stars.csv,q3_top_percent,number,one value per row,Third quartile of HANAMI rank percentiles over ten seeds.
hanami_consensus_gene_stars.csv,min_top_percent,number,one value per row,Minimum HANAMI rank percentile over ten seeds.
hanami_consensus_gene_stars.csv,max_top_percent,number,one value per row,Maximum HANAMI rank percentile over ten seeds.
hanami_consensus_gene_stars.csv,hard_clique_positive_seeds,integer,one value per row,"Number of seeds with positive clique logit margin, out of ten."
hanami_consensus_gene_stars.csv,min_ties,integer,one value per row,Minimum number of exact score ties encountered across seeds.
hanami_consensus_gene_stars.csv,max_ties,integer,one value per row,Maximum number of exact score ties encountered across seeds.
hanami_consensus_gene_stars.csv,stored_drug_gene_edge,boolean,one value per row,Explicit audit of the stored MS drug-gene edge.
hanami_consensus_gene_stars.csv,stored_gene_disease_edge,boolean,one value per row,Explicit audit of the stored MS gene-disease edge.
hanami_consensus_gene_stars.csv,stored_drug_disease_edge,boolean,one value per row,Explicit audit of the stored MS drug-disease edge.
hanami_consensus_gene_stars.csv,cycles_label_present,boolean,one value per row,Whether the triplet appears in the stored clique/cycle labels.
hanami_consensus_gene_stars.csv,supervised_any_seed,boolean,one value per row,Whether the triplet appeared in positive or negative supervision for any motif across the ten seeds.
hanami_consensus_gene_stars.csv,raw_drug_gene_exact,boolean,one value per row,Whether the drug-gene relation is an exact raw SD1 record rather than hierarchy-only.
hanami_consensus_gene_stars.csv,raw_gene_disease_exact_cui,boolean,one value per row,Whether the gene-disease relation is an exact raw SD2 CUI match.
hanami_consensus_gene_stars.csv,gene_disease_provenance,string,one value per row,Provenance category of the gene-disease bridge.
hanami_consensus_gene_stars.csv,hierarchy_specificity_flag,boolean,one value per row,True when a bridge depends on hierarchy or normalization rather than an exact raw match.
hanami_consensus_gene_stars.csv,raw_drug_disease_exact_cui,boolean,one value per row,Whether an exact raw SD6 drug-disease CUI record exists.
hanami_consensus_gene_stars.csv,disease_cui_source,string,one value per row,Provenance category for the disease CUI mapping.
hanami_consensus_gene_stars.csv,candidate_conflicting_cui,number,one value per row,Candidate CUI retained for auditing when a crosswalk collision prevented assignment.
hanami_consensus_gene_stars.csv,seed_0_top_percent,number,one value per row,HANAMI rank percentile for seed 0; lower is better.
hanami_consensus_gene_stars.csv,seed_0_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 0."
hanami_consensus_gene_stars.csv,seed_0_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 0.
hanami_consensus_gene_stars.csv,seed_10_top_percent,number,one value per row,HANAMI rank percentile for seed 10; lower is better.
